N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef
109,895721.591200,597438.063300,99,    0,                                                  ,0,0
110,907121.280800,601982.427200,99,    0,                                                  ,0,0
111,906374.322300,598129.693800,99,    0,                                                  ,0,0
112,942976.975000,681450.254900,99,    0,                                                  ,0,0
113,893742.567600,729927.215100,99,    0,                                                  ,0,0
114,856745.605300,598866.918100,99,    0,                                                  ,0,0
115,853202.925500,585753.474500,99,    0,                                                  ,0,0
116,865252.219700,578724.719500,99,    0,                                                  ,0,0
117,878162.761700,586831.429600,99,    0,                                                  ,0,0
118,895993.984100,589066.276100,99,    0,                                                  ,0,0
119,940358.065500,586308.380400,99,    0,                                                  ,0,0
120,933463.326100,595200.216600,99,    0,                                                  ,0,0
121,928514.329800,585537.120600,99,    0,                                                  ,0,0
122,912834.266100,592932.085100,99,    0,                                                  ,0,0
123,906845.738200,588239.479900,99,    0,                                                  ,0,0
124,898455.168300,574923.977000,99,    0,                                                  ,0,0
125,882419.088800,574964.385800,99,    0,                                                  ,0,0
126,937967.195600,564957.334800,99,    0,                                                  ,0,0
127,925405.642900,571411.000000,99,    0,                                                  ,0,0
128,921755.864200,557555.358800,99,    0,                                                  ,0,0
129,911875.659500,572328.702000,99,    0,                                                  ,0,0
130,909918.559200,567735.191500,99,    0,                                                  ,0,0
131,908642.264500,576750.845200,99,    0,                                                  ,0,0
132,910651.604700,561600.758000,99,    0,                                                  ,0,0
133,901801.745500,561186.302400,99,    0,                                                  ,0,0
134,892898.655900,563060.637000,99,    0,                                                  ,0,0
135,883995.566300,563328.399100,99,    0,                                                  ,0,0
136,874690.833500,563730.042300,99,    0,                                                  ,0,0
137,869201.710600,565872.139000,99,    0,                                                  ,0,0
138,884514.393300,554007.047000,99,    0,                                                  ,0,0
139,888246.439500,547347.905900,99,    0,                                                  ,0,0
140,893389.526600,549994.732900,99,    0,                                                  ,0,0
141,920359.974100,546770.613300,99,    0,                                                  ,0,0
142,932187.406900,544962.379200,99,    0,                                                  ,0,0
143,910072.884500,552611.305000,99,    0,                                                  ,0,0
144,909354.229100,542381.617700,99,    0,                                                  ,0,0
145,912542.245300,542120.398700,99,    0,                                                  ,0,0
146,901568.926700,549721.072600,99,    0,                                                  ,0,0
147,902530.520800,532933.406200,99,    0,                                                  ,0,0
148,916044.279400,534424.570700,99,    0,                                                  ,0,0
149,909266.745600,532495.989000,99,    0,                                                  ,0,0
150,919087.148700,533947.834800,99,    0,                                                  ,0,0
