N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef,VCOST
99,848410.6185,645860.3675,99,0,0,-0.117,-0.584,10
100,854840.4655,622443.0237,99,0,0,-0.117,-0.584,10
101,857152.2501,645791.9963,99,0,0,-0.117,-0.584,10
102,876590.812,613234.8478,99,0,0,-0.117,-0.584,10
103,892218.5908,613763.7005,99,0,0,-0.117,-0.584,10
104,909082.0956,614276.4422,99,0,0,-0.117,-0.584,10
105,876670.1928,604106.0527,99,0,0,-0.117,-0.584,10
106,892811.1283,606778.6871,99,0,0,-0.117,-0.584,10
107,894029.8501,601746.5456,99,0,0,-0.117,-0.584,10
108,876908.3353,596485.4933,99,0,0,-0.117,-0.584,10
109,895721.5912,597438.0633,99,0,0,-0.117,-0.584,10
110,907121.2808,601982.4272,99,0,0,-0.117,-0.584,10
111,906374.3223,598129.6938,99,0,0,-0.117,-0.584,10
112,942976.975,681450.2549,99,0,0,-0.117,-0.584,10
113,893742.5676,729927.2151,99,0,0,-0.117,-0.584,10
114,856745.6053,598866.9181,99,0,0,-0.117,-0.584,10
115,853202.9255,585753.4745,99,0,0,-0.117,-0.584,10
116,865252.2197,578724.7195,99,0,0,-0.117,-0.584,10
117,878162.7617,586831.4296,99,0,0,-0.117,-0.584,10
118,895993.9841,589066.2761,99,0,0,-0.117,-0.584,10
119,940358.0655,586308.3804,99,0,0,-0.117,-0.584,10
120,933463.3261,595200.2166,99,0,0,-0.117,-0.584,10
121,928514.3298,585537.1206,99,0,0,-0.117,-0.584,10
122,912834.2661,592932.0851,99,0,0,-0.117,-0.584,10
123,906845.7382,588239.4799,99,0,0,-0.117,-0.584,10
124,898455.1683,574923.977,99,0,0,-0.117,-0.584,10
125,882419.0888,574964.3858,99,0,0,-0.117,-0.584,10
126,937967.1956,564957.3348,99,0,0,-0.117,-0.584,10
127,925405.6429,571411,99,0,0,-0.117,-0.584,10
128,921755.8642,557555.3588,99,0,0,-0.117,-0.584,10
129,911875.6595,572328.702,99,0,0,-0.117,-0.584,10
130,909918.5592,567735.1915,99,0,0,-0.117,-0.584,10
131,908642.2645,576750.8452,99,0,0,-0.117,-0.584,10
132,910651.6047,561600.758,99,0,0,-0.117,-0.584,10
133,901801.7455,561186.3024,99,0,0,-0.117,-0.584,10
134,892898.6559,563060.637,99,0,0,-0.117,-0.584,10
135,883995.5663,563328.3991,99,0,0,-0.117,-0.584,10
136,874690.8335,563730.0423,99,0,0,-0.117,-0.584,10
137,869201.7106,565872.139,99,0,0,-0.117,-0.584,10
138,884514.3933,554007.047,99,0,0,-0.117,-0.584,10
139,888246.4395,547347.9059,99,0,0,-0.117,-0.584,10
140,893389.5266,549994.7329,99,0,0,-0.117,-0.584,10
141,920359.9741,546770.6133,99,0,0,-0.117,-0.584,10
142,932187.4069,544962.3792,99,0,0,-0.117,-0.584,10
143,910072.8845,552611.305,99,0,0,-0.117,-0.584,10
144,909354.2291,542381.6177,99,0,0,-0.117,-0.584,10
145,912542.2453,542120.3987,99,0,0,-0.117,-0.584,10
146,901568.9267,549721.0726,99,0,0,-0.117,-0.584,10
147,902530.5208,532933.4062,99,0,0,-0.117,-0.584,10
148,916044.2794,534424.5707,99,0,0,-0.117,-0.584,10
149,909266.7456,532495.989,99,0,0,-0.117,-0.584,10
150,919087.1487,533947.8348,99,0,0,-0.117,-0.584,10
151,921421.388,527148.5243,99,0,0,-0.117,-0.584,10
152,921001.4352,522866.1377,99,0,0,-0.117,-0.584,10
153,921114.9796,519834.3229,99,0,0,-0.117,-0.584,10
154,932274.8904,532146.0552,99,0,0,-0.117,-0.584,10
155,929632.4073,519666.2158,99,0,0,-0.117,-0.584,10
156,933386.7998,500782.182,99,0,0,-0.117,-0.584,10
157,850569.8433,522287.6054,99,0,0,-0.117,-0.584,10
158,841889.9771,560182.1945,99,0,0,-0.117,-0.584,10
159,880635.9925,550055.4687,99,0,0,-0.117,-0.584,10
160,887439.7584,540736.5823,99,0,0,-0.117,-0.584,10
161,892422.6051,532340.084,99,0,0,-0.117,-0.584,10
