A,B,DISTANCE,CAPACITY,NUM_LANES,FTYPE,FFSPEED,ALPHA,BETA
35,21573,1.1805,10000,1,51,12.5,0.75,4
36,21107,1.4713,10000,1,51,12.5,0.75,4
36,21563,1.057,10000,1,51,12.5,0.75,4
36,21603,1.6531,10000,1,51,12.5,0.75,4
36,21617,0.3721,10000,1,51,12.5,0.75,4
37,21185,1.7043,10000,1,51,12.5,0.75,4
37,21677,0.5798,10000,1,51,12.5,0.75,4
37,21679,1.4478,10000,1,51,12.5,0.75,4
37,21695,0.3801,10000,1,51,12.5,0.75,4
38,21238,1.4789,10000,1,51,12.5,0.75,4
38,21695,0.4894,10000,1,51,12.5,0.75,4
38,21701,1.4873,10000,1,51,12.5,0.75,4
38,21707,0.5192,10000,1,51,12.5,0.75,4
39,21715,1.1884,10000,1,51,12.5,0.75,4
39,22157,0.9809,10000,1,51,12.5,0.75,4
39,22280,1.203,10000,1,51,12.5,0.75,4
40,21679,0.8827,10000,1,51,12.5,0.75,4
40,22095,1.06,10000,1,51,12.5,0.75,4
40,22280,0.5336,10000,1,51,12.5,0.75,4
41,21975,2.1202,10000,1,51,12.5,0.75,4
41,22379,1.0731,10000,1,51,12.5,0.75,4
41,22693,2.1145,10000,1,51,12.5,0.75,4
42,22469,0.9662,10000,1,51,12.5,0.75,4
42,22811,0.4209,10000,1,51,12.5,0.75,4
42,22819,1.0885,10000,1,51,12.5,0.75,4
43,22843,0.3695,10000,1,51,12.5,0.75,4
43,23201,0.7197,10000,1,51,12.5,0.75,4
43,23219,1.2932,10000,1,51,12.5,0.75,4
44,22803,0.4687,10000,1,51,12.5,0.75,4
44,23113,1.0239,10000,1,51,12.5,0.75,4
44,23157,0.5572,10000,1,51,12.5,0.75,4
45,23381,1.2927,10000,1,51,12.5,0.75,4
46,23407,0.6083,10000,1,51,12.5,0.75,4
46,23465,0.395,10000,1,51,12.5,0.75,4
47,23505,0.3849,10000,1,51,12.5,0.75,4
47,23527,1.2115,10000,1,51,12.5,0.75,4
48,22500,0.0733,10000,1,51,12.5,0.75,4
49,22119,1.4689,10000,1,51,12.5,0.75,4
49,22195,1.54,10000,1,51,12.5,0.75,4
49,22346,0.5755,10000,1,51,12.5,0.75,4
49,22509,0.6113,10000,1,51,12.5,0.75,4
50,22119,0.3021,10000,1,51,12.5,0.75,4
50,22500,0.3079,10000,1,51,12.5,0.75,4
51,22479,0.3161,10000,1,51,12.5,0.75,4
52,22479,1.6038,10000,1,51,12.5,0.75,4
52,22505,0.8231,10000,1,51,12.5,0.75,4
52,22509,0.736,10000,1,51,12.5,0.75,4
52,22537,1.4514,10000,1,51,12.5,0.75,4
53,22195,0.2528,10000,1,51,12.5,0.75,4
53,22197,0.3304,10000,1,51,12.5,0.75,4
54,22197,0.8725,10000,1,51,12.5,0.75,4
54,22537,0.4536,10000,1,51,12.5,0.75,4
54,22545,0.7386,10000,1,51,12.5,0.75,4
55,22505,1.0223,10000,1,51,12.5,0.75,4
55,22843,1.0154,10000,1,51,12.5,0.75,4
55,22867,1.2592,10000,1,51,12.5,0.75,4
56,22057,0.7399,10000,1,51,12.5,0.75,4
56,22387,0.9979,10000,1,51,12.5,0.75,4
56,22427,0.8025,10000,1,51,12.5,0.75,4
56,22467,1.2583,10000,1,51,12.5,0.75,4
57,22467,0.3613,10000,1,51,12.5,0.75,4
57,22469,0.1938,10000,1,51,12.5,0.75,4
58,22427,0.9444,10000,1,51,12.5,0.75,4
58,22693,1.0502,10000,1,51,12.5,0.75,4
58,22748,1.1132,10000,1,51,12.5,0.75,4
58,22809,1.1634,10000,1,51,12.5,0.75,4
59,22259,0.5679,10000,1,51,12.5,0.75,4
59,22262,0.4284,10000,1,51,12.5,0.75,4
59,22299,1.4174,10000,1,51,12.5,0.75,4
60,22259,0.9709,10000,1,51,12.5,0.75,4
60,22556,1.0793,10000,1,51,12.5,0.75,4
60,22602,1.291,10000,1,51,12.5,0.75,4
61,22601,2.0621,10000,1,51,12.5,0.75,4
61,22617,1.1725,10000,1,51,12.5,0.75,4
61,22621,0.9289,10000,1,51,12.5,0.75,4
62,22617,0.9888,10000,1,51,12.5,0.75,4
62,22965,1.7803,10000,1,51,12.5,0.75,4
62,22999,0.8281,10000,1,51,12.5,0.75,4
62,25066,1.7802,10000,1,51,12.5,0.75,4
63,25062,0.3959,10000,1,51,12.5,0.75,4
63,25071,0.8176,10000,1,51,12.5,0.75,4
64,25071,0.7295,10000,1,51,12.5,0.75,4
64,25089,1.2824,10000,1,51,12.5,0.75,4
64,25094,0.9644,10000,1,51,12.5,0.75,4
65,22581,0.8886,10000,1,51,12.5,0.75,4
65,22901,1.3351,10000,1,51,12.5,0.75,4
65,22953,0.6678,10000,1,51,12.5,0.75,4
65,22965,1.4152,10000,1,51,12.5,0.75,4
66,22545,0.9621,10000,1,51,12.5,0.75,4
66,22867,0.5876,10000,1,51,12.5,0.75,4
66,22877,1.0556,10000,1,51,12.5,0.75,4
67,22979,1.2022,10000,1,51,12.5,0.75,4
67,23267,0.8098,10000,1,51,12.5,0.75,4
67,23283,0.6639,10000,1,51,12.5,0.75,4
67,23299,1.1193,10000,1,51,12.5,0.75,4
68,23011,1.2374,10000,1,51,12.5,0.75,4
68,23313,0.5384,10000,1,51,12.5,0.75,4
68,25089,1.1494,10000,1,51,12.5,0.75,4
69,22903,1.1412,10000,1,51,12.5,0.75,4
69,22953,1.2428,10000,1,51,12.5,0.75,4
69,23229,0.7289,10000,1,51,12.5,0.75,4
69,23267,0.9491,10000,1,51,12.5,0.75,4
70,22877,0.5317,10000,1,51,12.5,0.75,4
70,23221,0.5486,10000,1,51,12.5,0.75,4
70,23225,0.5173,10000,1,51,12.5,0.75,4
71,23225,0.7539,10000,1,51,12.5,0.75,4
71,23547,0.7546,10000,1,51,12.5,0.75,4
72,23229,0.8682,10000,1,51,12.5,0.75,4
72,23569,1.0942,10000,1,51,12.5,0.75,4
73,23739,0.3781,10000,1,51,12.5,0.75,4
73,23788,0.8916,10000,1,51,12.5,0.75,4
74,23725,1.0457,10000,1,51,12.5,0.75,4
74,24139,0.1951,10000,1,51,12.5,0.75,4
75,23763,0.9324,10000,1,51,12.5,0.75,4
75,23815,0.2598,10000,1,51,12.5,0.75,4
75,23855,1.0193,10000,1,51,12.5,0.75,4
75,23985,1.1519,10000,1,51,12.5,0.75,4
76,23781,1.2116,10000,1,51,12.5,0.75,4
76,23875,0.3284,10000,1,51,12.5,0.75,4
76,23893,0.8364,10000,1,51,12.5,0.75,4
76,23999,1.4537,10000,1,51,12.5,0.75,4
77,23899,1.5778,10000,1,51,12.5,0.75,4
77,23913,0.3241,10000,1,51,12.5,0.75,4
78,25437,0.7472,10000,1,51,12.5,0.75,4
79,23989,1.9711,10000,1,51,12.5,0.75,4
79,24004,1.2066,10000,1,51,12.5,0.75,4
79,24215,1.1814,10000,1,51,12.5,0.75,4
79,25451,1.9528,10000,1,51,12.5,0.75,4
80,23983,1.2245,10000,1,51,12.5,0.75,4
80,24163,1.123,10000,1,51,12.5,0.75,4
80,24197,1.3754,10000,1,51,12.5,0.75,4
81,23669,0.5313,10000,1,51,12.5,0.75,4
81,23689,0.6092,10000,1,51,12.5,0.75,4
82,23715,0.7683,10000,1,51,12.5,0.75,4
82,23739,1.151,10000,1,51,12.5,0.75,4
83,23715,0.7545,10000,1,51,12.5,0.75,4
83,24109,1.3522,10000,1,51,12.5,0.75,4
83,24111,0.3826,10000,1,51,12.5,0.75,4
84,24251,1.3415,10000,1,51,12.5,0.75,4
84,24563,1.9518,10000,1,51,12.5,0.75,4
85,23689,1.6435,10000,1,51,12.5,0.75,4
85,24041,0.6644,10000,1,51,12.5,0.75,4
85,24063,0.4376,10000,1,51,12.5,0.75,4
85,24073,0.6184,10000,1,51,12.5,0.75,4
85,24305,1.9458,10000,1,51,12.5,0.75,4
86,24109,0.7211,10000,1,51,12.5,0.75,4
86,24379,0.8134,10000,1,51,12.5,0.75,4
86,24429,1.3759,10000,1,51,12.5,0.75,4
87,24429,0.1689,10000,1,51,12.5,0.75,4
87,24435,0.7493,10000,1,51,12.5,0.75,4
88,24435,0.5544,10000,1,51,12.5,0.75,4
88,24815,0.2569,10000,1,51,12.5,0.75,4
88,24823,0.4621,10000,1,51,12.5,0.75,4
89,24809,0.7375,10000,1,51,12.5,0.75,4
89,24847,0.5056,10000,1,51,12.5,0.75,4
89,24851,0.398,10000,1,51,12.5,0.75,4
90,24379,0.5019,10000,1,51,12.5,0.75,4
90,24745,0.5368,10000,1,51,12.5,0.75,4
90,24815,1.4596,10000,1,51,12.5,0.75,4
91,24305,0.453,10000,1,51,12.5,0.75,4
91,24633,0.7855,10000,1,51,12.5,0.75,4
91,24687,0.5629,10000,1,51,12.5,0.75,4
92,24589,0.9095,10000,1,51,12.5,0.75,4
92,28641,0.8491,10000,1,51,12.5,0.75,4
92,29083,0.9294,10000,1,51,12.5,0.75,4
93,24625,0.7421,10000,1,51,12.5,0.75,4
93,24683,0.3886,10000,1,51,12.5,0.75,4
93,24687,0.3704,10000,1,51,12.5,0.75,4
94,24745,0.4248,10000,1,51,12.5,0.75,4
94,24756,0.3721,10000,1,51,12.5,0.75,4
94,24809,1.2894,10000,1,51,12.5,0.75,4
95,24756,1.3559,10000,1,51,12.5,0.75,4
95,29051,1.028,10000,1,51,12.5,0.75,4
95,29060,0.2489,10000,1,51,12.5,0.75,4
95,29164,1.5992,10000,1,51,12.5,0.75,4
96,24471,0.5195,10000,1,51,12.5,0.75,4
96,24881,0.6041,10000,1,51,12.5,0.75,4
96,24893,0.9065,10000,1,51,12.5,0.75,4
97,25183,0.2953,10000,1,51,12.5,0.75,4
97,25353,0.873,10000,1,51,12.5,0.75,4
98,25407,0.7285,10000,1,51,12.5,0.75,4
98,25451,1.4868,10000,1,51,12.5,0.75,4
98,25521,1.6285,10000,1,51,12.5,0.75,4
99,25180,0.7982,10000,1,51,12.5,0.75,4
