N,DTA_Type
14582,0
14583,0
14591,0
14593,0
14597,0
14613,0
14617,0
14619,0
14621,0
14623,0
14629,0
14631,0
14635,0
14637,0
14641,0
14643,0
14644,0
14645,0
14646,0
14647,0
14648,0
14649,0
14651,0
14652,0
14654,0
14655,0
14656,0
14657,0
14659,0
14663,0
14665,0
14667,0
14671,0
14675,0
14679,0
14681,0
14683,0
14685,0
14693,0
14695,0
14699,0
14701,0
14703,0
14705,0
14707,0
14709,0
14717,0
14729,0
14741,0
14765,0
14769,0
14773,0
14813,0
14825,0
14831,0
14849,0
14851,0
14855,0
14861,0
14863,0
14867,0
14869,0
14871,0
14875,0
14877,0
14883,0
14887,0
14897,0
14909,0
14919,0
14923,0
14931,0
14947,0
14953,0
14971,0
14985,0
15004,0
15009,0
15025,0
15089,0
15091,0
15093,0
15095,0
15097,0
15099,0
15101,0
15120,0
15141,0
15147,0
15169,0
15171,0
15172,0
15175,0
15177,0
15199,0
15205,0
15209,0
15221,0
15273,0
15274,0
15275,0
15277,0
15279,0
15282,0
15283,0
15285,0
15388,0
15390,0
15403,0
15405,0
15407,0
15409,0
15411,0
15413,0
15415,0
15419,0
15469,0
15471,0
15473,0
15475,0
15477,0
15479,0
15483,0
15504,0
15506,0
15508,0
15510,0
15512,0
15514,0
15528,0
15530,0
15532,0
15553,0
15555,0
15557,0
15559,0
15561,0
15565,0
15573,0
15651,0
15653,0
15655,0
15657,0
15659,0
15661,0
15663,0
15665,0
15667,0
15669,0
15671,0
15673,0
15675,0
15679,0
15681,0
15683,0
15685,0
15687,0
15689,0
15691,0
15693,0
15695,0
15697,0
15699,0
15701,0
15709,0
15713,0
15743,0
15745,0
15747,0
15749,0
15751,0
15753,0
15755,0
15757,0
15987,0
15989,0
15993,0
15997,0
15999,0
16003,0
16004,0
16005,0
16007,0
16008,0
16010,0
16021,0
16023,0
16029,0
16031,0
16035,0
16037,0
16041,0
16043,0
16047,0
16051,0
16054,0
16056,0
16063,0
16065,0
16075,0
16077,0
16079,0
16081,0
16083,0
16085,0
16087,0
16089,0
16091,0
16093,0
16157,0
16159,0
16161,0
16163,0
16165,0
16167,0
16169,0
16171,0
16173,0
16177,0
16342,0
16344,0
16345,0
16346,0
16347,0
16349,0
16351,0
16355,0
16357,0
16460,0
16505,0
16509,0
16519,0
16521,0
16523,0
16525,0
16529,0
16531,0
16533,0
16535,0
16537,0
16541,0
16542,0
16543,0
16545,0
16547,0
16549,0
16553,0
16555,0
16557,0
16559,0
16565,0
16567,0
16579,0
16589,0
16591,0
16607,0
16665,0
16713,0
16715,0
16717,0
16719,0
16721,0
16723,0
16725,0
16729,0
16733,0
16745,0
16759,0
16778,0
16780,0
16804,0
16836,0
16838,0
16844,0
16845,0
16846,0
16848,0
16856,0
16860,0
16866,0
16879,0
16907,0
16913,0
16915,0
16917,0
16919,0
16923,0
16929,0
16931,0
16937,0
16939,0
16941,0
16943,0
16945,0
16947,0
16953,0
16955,0
16957,0
16959,0
16965,0
16967,0
16969,0
16971,0
16973,0
16975,0
16981,0
16983,0
16985,0
16987,0
16989,0
16991,0
16993,0
16995,0
16997,0
16999,0
17003,0
17007,0
17017,0
17019,0
17021,0
17023,0
17025,0
17027,0
17029,0
17031,0
17033,0
17037,0
17039,0
17041,0
17042,0
17043,0
17049,0
17051,0
17053,0
17055,0
17057,0
17059,0
17065,0
17067,0
17069,0
17071,0
17077,0
17079,0
17081,0
17083,0
17085,0
17087,0
17089,0
17091,0
17093,0
17101,0
17103,0
17111,0
17113,0
17115,0
17117,0
17119,0
17121,0
17123,0
17125,0
17127,0
17129,0
17131,0
17133,0
17147,0
17149,0
17151,0
17153,0
17155,0
17157,0
17159,0
17161,0
17163,0
17165,0
17167,0
17169,0
17171,0
17173,0
17175,0
17177,0
17179,0
17181,0
17183,0
17185,0
17191,0
17193,0
17195,0
17197,0
17199,0
17201,0
17205,0
17207,0
17209,0
17211,0
17213,0
17215,0
17217,0
17219,0
17221,0
17227,0
17229,0
17235,0
17237,0
17239,0
17241,0
17243,0
17245,0
17247,0
17249,0
17251,0
17253,0
17255,0
17257,0
17259,0
17261,0
17263,0
17265,0
17267,0
17269,0
17271,0
17273,0
17275,0
17277,0
17279,0
17281,0
17283,0
17285,0
17287,0
17289,0
17291,0
17293,0
17295,0
17297,0
17299,0
17301,0
17303,0
17305,0
17307,0
17309,0
17311,0
17315,0
17317,0
17319,0
17321,0
17323,0
17325,0
17327,0
17329,0
17331,0
17333,0
17335,0
17337,0
17339,0
17341,0
17343,0
17345,0
17347,0
17349,0
17351,0
17353,0
17355,0
17357,0
17359,0
17361,0
17363,0
17365,0
17367,0
17369,0
17371,0
17373,0
17375,0
17377,0
17379,0
17381,0
17383,0
17385,0
17387,0
17389,0
17391,0
17393,0
17395,0
17397,0
17399,0
17737,0
17739,0
17741,0
17767,0
17769,0
17771,0
17773,0
17779,0
17847,0
17863,0
17865,0
17867,0
17869,0
17927,0
17929,0
17933,0
17935,0
17937,0
17939,0
17941,0
17955,0
17957,0
17958,0
17960,0
17961,0
18019,0
18021,0
18023,0
18029,0
18031,0
18035,0
18037,0
18043,0
18047,0
18051,0
18057,0
18059,0
18061,0
18063,0
18065,0
18067,0
18069,0
18071,0
18073,0
18075,0
18077,0
18079,0
18083,0
18085,0
18091,0
18149,0
18281,0
18283,0
18301,0
18333,0
18345,0
18347,0
18349,0
18351,0
18399,0
18405,0
18407,0
18413,0
18415,0
18417,0
18419,0
18441,0
18469,0
18471,0
18473,0
18475,0
18485,0
18535,0
18559,0
18561,0
18625,0
18632,0
18634,0
18655,0
18671,0
18673,0
18675,0
18677,0
18679,0
18699,0
18705,0
18707,0
18709,0
18711,0
18907,0
18911,0
18913,0
18921,0
18950,0
18952,0
18957,0
18977,0
18983,0
18999,0
19110,0
19111,0
19113,0
19123,0
19128,0
19131,0
19136,0
19137,0
19160,0
19170,0
19171,0
19174,0
19178,0
19196,0
19199,0
19207,0
19229,0
19230,0
19232,0
19254,0
19256,0
19260,0
19289,0
19290,0
19292,0
19296,0
19306,0
19318,0
19319,0
19322,0
19329,0
19344,0
19345,0
19346,0
19347,0
19348,0
19349,0
19355,0
20004,0
20005,0
20006,0
20014,0
20015,0
20016,0
20017,0
20021,0
20023,0
20026,0
20027,0
20029,0
20031,0
20032,0
20033,0
20034,0
20041,0
20042,0
20043,0
20045,0
20046,0
20048,0
20049,0
20050,0
20052,0
20053,0
20054,0
20055,0
20058,0
20059,0
20060,0
20061,0
20062,0
20063,0
20064,0
20065,0
20066,0
20067,0
20068,0
20069,0
20070,0
20071,0
20072,0
20074,0
20075,0
20077,0
20082,0
20086,0
20088,0
20096,0
20097,0
20101,0
20102,0
20103,0
20105,0
20110,0
20111,0
20112,0
20113,0
20118,0
20119,0
20123,0
20124,0
20125,0
20128,0
20129,0
20131,0
20132,0
20133,0
20139,0
20142,0
20143,0
20144,0
20145,0
20146,0
20147,0
20148,0
20152,0
20155,0
20162,0
20163,0
20166,0
20167,0
20168,0
20172,0
20173,0
20174,0
20175,0
20176,0
20177,0
20178,0
20179,0
20180,0
20181,0
20183,0
20184,0
20192,0
20193,0
20194,0
20195,0
20196,0
20197,0
20198,0
20199,0
20200,0
20202,0
20203,0
20205,0
20209,0
20215,0
20216,0
20217,0
20230,0
20231,0
20232,0
20236,0
20261,0
20264,0
20273,0
20274,0
20275,0
20276,0
20277,0
20278,0
20279,0
20281,0
20282,0
20284,0
20285,0
20286,0
20298,0
20305,0
20312,0
20314,0
20315,0
20361,0
20363,0
20367,0
20371,0
20372,0
20373,0
20375,0
20377,0
20378,0
20382,0
20385,0
20386,0
20388,0
20389,0
20392,0
20395,0
20398,0
20413,0
20414,0
20415,0
20421,0
20424,0
20425,0
20427,0
20428,0
20431,0
20436,0
20438,0
20447,90
20448,91
20453,0
20462,0
20476,0
20482,0
20483,0
20536,0
20560,0
20561,0
20583,0
20584,0
20638,0
20652,0
20696,0
20698,0
20714,0
20715,0
20716,0
20717,0
20718,0
20719,0
20726,0
20727,0
20728,0
20729,0
20730,0
20731,0
20732,0
20734,0
20736,0
20737,0
20738,0
20739,0
20740,0
20742,0
20744,0
20746,0
20747,0
20748,0
20750,0
20752,92
20753,0
20754,91
20755,0
20756,0
20757,0
20758,0
20759,0
20760,0
20761,0
20762,0
20763,0
20766,0
20767,0
20768,0
20769,0
20770,0
20771,0
20772,0
20773,0
20777,0
20778,0
20779,0
20780,0
20789,0
20790,0
20791,0
20792,0
20793,0
20795,0
20797,0
20798,0
20799,0
20800,0
20801,0
20802,0
20803,0
20808,0
20809,0
20810,0
20811,0
20814,0
20815,0
20816,0
20824,0
20825,0
20829,0
20830,0
20831,0
20832,0
20834,90
20836,91
20838,0
20839,0
20840,0
20841,0
20842,0
20843,0
